ProbeID,GSM2714567,GSM2714568,GSM2714569,GSM2714570,GSM2714571,GSM2714572,GSM2714573,GSM2714574,GSM2714575,GSM2714576,GSM2714577,GSM2714578,GSM2714579,GSM2714580,GSM2714581,GSM2714582,GSM2714583,GSM2714584,GSM2714585,GSM2714586,GSM2714587,GSM2714588,GSM2714589,GSM2714590,GSM2714591,GSM2714592,GSM2714593,GSM2714594,GSM2714595,GSM2714596,GSM2714597,GSM2714598,GSM2714599,GSM2714600,GSM2714601,GSM2714602,GSM2714603,GSM2714604,GSM2714605,GSM2714606,GSM2714607,GSM2714608,GSM2714609,GSM2714610,GSM2714611,GSM2714612,GSM2714613,GSM2714614,GSM2714615,GSM2714616,GSM2714617,GSM2714618,GSM2714619,GSM2714620,GSM2714621,GSM2714622,GSM2714623,GSM2714624,GSM2714625,GSM2714626,GSM2714627,GSM2714628,GSM2714629,GSM2714630,GSM2714631,GSM2714632,GSM2714633,GSM2714634,GSM2714635,GSM2714636,GSM2714637,GSM2714638,GSM2714639,GSM2714640,GSM2714641,GSM2714642,GSM2714643,GSM2714644,GSM2714645,GSM2714646,GSM2714647,GSM2714648,GSM2714649,GSM2714650,GSM2714651,GSM2714652,GSM2714653,GSM2714654,GSM2714655,GSM2714656,GSM2714657,GSM2714658,GSM2714659,GSM2714660,GSM2714661,GSM2714662,GSM2714663,GSM2714664,GSM2714665,GSM2714666,GSM2714667,GSM2714668
cg01783070,0.220677308,0.178168875,0.525571411,0.885762589,0.14544862,0.13409269,0.690952791,0.515566057,0.277643544,0.255317049,0.110507353,0.10571398,0.042108738,0.494732785,0.062799951,0.173834887,0.603785529,0.552209573,0.150384697,0.357073728,0.184303922,0.178104345,0.070387418,0.424053852,0.642642403,0.263574064,0.019989796,0.169436729,0.364234543,0.578889753,0.266337301,0.440240115,0.091267968,0.09575621,0.040816327,0.295491143,0.441614407,0.363249418,0.146896638,0.58310662,0.466713837,0.278787879,0.344533186,0.658374009,0.196922244,0.314362597,0.116786801,0.221142635,0.491884198,0.375745683,0.344671122,0.152883499,0.627789974,0.182163341,0.186439311,0.165246833,0.572737862,0.259615385,0.134702532,0.3965193,0.387540697,0.206842855,0.504809935,0.527201346,0.58984346,0.245894263,0.124524759,0.535384615,0.505889881,0.15812802,0.167751899,0.222706668,0.039844894,0.243998003,0.072880583,0.38650445,0.137998222,0.308313554,0.113066691,0.215218667,0.045105608,0.241004485,0.251097481,0.517325866,0.576318064,0.549525768,0.515403384,0.121948267,0.042026598,0.550251875,0.536729141,0.147730367,0.181784474,0.205941041,0.325439587,0.215202334,0.18213994,0.206864224,0.192426584,0.128948568,0.143111521,0.258439699
cg01830294,0.234839616,0.268101761,0.367866795,0.636576538,0.266917838,0.283027659,0.41932474,0.503272876,0.34151344,0.354381397,0.561827957,0.172344129,0.563515538,0.354971036,0.138424674,0.210599158,0.20014918,0.513238478,0.206531608,0.387872479,0.252510578,0.302594944,0.173879207,0.411373859,0.504190224,0.29315594,0.093004738,0.451382632,0.429846011,0.656981219,0.319040021,0.423966824,0.498022921,0.227408323,0.126912259,0.279379845,0.311194669,0.333929786,0.257939963,0.447444176,0.290123457,0.308583351,0.312497803,0.519119218,0.286782689,0.36307081,0.22959059,0.424151118,0.501974806,0.353027583,0.346328294,0.350773558,0.628877583,0.289162045,0.279589766,0.649304769,0.438413897,0.291777019,0.253004449,0.391276541,0.354327335,0.278210763,0.39721017,0.522228716,0.657027263,0.31031832,0.262362741,0.507461559,0.507488233,0.279410787,0.338439775,0.291123041,0.180125196,0.250650538,0.268608954,0.349528287,0.214508057,0.327202108,0.176451705,0.261394947,0.188809022,0.268721738,0.249332479,0.506846602,0.509746718,0.489478535,0.451283295,0.199828332,0.425917762,0.4518163,0.478177402,0.204806301,0.267490072,0.264604588,0.347784615,0.286484858,0.247109827,0.222729227,0.26917964,0.223175706,0.26594544,0.317895458
cg02150988,0.129547983,0.168672965,0.146078267,0.077250266,0.183864477,0.154123084,0.103088545,0.126406187,0.247167697,0.232066973,0.077572328,0.107672188,0.065335959,0.103540683,0.085933428,0.106118388,0.134375332,0.088921665,0.124457848,0.093781111,0.144996133,0.16638827,0.135628603,0.119974524,0.126708291,0.168828152,0.073435889,0.117452945,0.153193918,0.089241106,0.136344799,0.127032895,0.08337825,0.159654353,0.086723642,0.191501011,0.089122007,0.191005169,0.155079583,0.145192351,0.123762168,0.15389592,0.140253629,0.146293984,0.133347377,0.188127989,0.148143528,0.122437673,0.125782489,0.211259755,0.176463498,0.19479706,0.071878887,0.169514616,0.147231013,0.103498478,0.069686255,0.124862632,0.148471117,0.199907468,0.193976147,0.227342806,0.125755421,0.11282165,0.076243151,0.19173643,0.113681004,0.086576546,0.18250686,0.157933282,0.146237501,0.195730862,0.122403182,0.149718785,0.123749583,0.177722562,0.140775364,0.148442217,0.096239485,0.163031359,0.131909193,0.181112128,0.164935858,0.14877048,0.086709644,0.080837705,0.099357146,0.174509159,0.097941854,0.098583493,0.100354047,0.135247244,0.155999483,0.170870182,0.148183089,0.233464782,0.12719704,0.119034558,0.150898082,0.112753877,0.157413761,0.204579285
cg02186542,0.218082373,0.181053001,0.355978261,0.747838932,0.205621106,0.238698176,0.426325114,0.360829602,0.249419505,0.242619627,0.175895173,0.116209459,0.332431213,0.297061694,0.094786232,0.150730825,0.368793047,0.465687809,0.138363133,0.228545,0.176214957,0.207668104,0.135553933,0.295682877,0.304509632,0.220689154,0.086434109,0.370745077,0.313405665,0.496832616,0.210768388,0.429362493,0.493481851,0.145204049,0.085798448,0.200195747,0.084007526,0.271086965,0.136560664,0.488352636,0.142985135,0.270433661,0.237292619,0.353988577,0.187876387,0.263755366,0.155818939,0.389933031,0.327419487,0.272581345,0.274081048,0.364317841,0.559211794,0.200215239,0.170233967,0.124449526,0.351930502,0.216289378,0.210306407,0.16826515,0.286029776,0.167635796,0.392783547,0.424231994,0.589476581,0.227204602,0.185191252,0.445922167,0.354918911,0.194496322,0.200305212,0.202906771,0.142892425,0.176233201,0.307108971,0.270238014,0.161510135,0.197539482,0.095142857,0.157187933,0.132557867,0.225838448,0.192789351,0.381299131,0.444598206,0.444330338,0.281754859,0.149432064,0.52106414,0.404074588,0.396048549,0.16836888,0.188587288,0.207871522,0.3032125,0.223009557,0.184474605,0.167708288,0.213752483,0.14604017,0.169423448,0.22212775
cg02266732,0.270823711,0.25710577,0.381414702,0.758874749,0.274214213,0.315716737,0.589612514,0.474894947,0.333910709,0.377465033,0.335921864,0.143994842,0.50165834,0.418585694,0.097706442,0.201039986,0.415097456,0.482228735,0.207828027,0.229825408,0.238758332,0.305629524,0.19929792,0.294624903,0.395563922,0.333833431,0.058990521,0.368858592,0.252537447,0.684578922,0.310338035,0.414949744,0.477204632,0.207484604,0.081321645,0.263615605,0.247421132,0.353653752,0.133987414,0.485424375,0.515298485,0.331026633,0.32293578,0.543672403,0.193221294,0.362285765,0.225149759,0.444823459,0.39670922,0.389352999,0.379796117,0.451225669,0.592925732,0.246081727,0.232070911,0.418845611,0.440820423,0.268656716,0.33801503,0.382171928,0.367442534,0.308752026,0.343291027,0.434692467,0.567993463,0.30537613,0.235660423,0.45783427,0.370610378,0.248522838,0.28033572,0.26079587,0.228463747,0.248862443,0.338523289,0.37608223,0.213242216,0.308572861,0.2643764,0.292483044,0.133503906,0.29096217,0.333075943,0.436888746,0.449738282,0.483251634,0.409630777,0.29652017,0.500253113,0.444990458,0.356141335,0.202131646,0.254537828,0.32205519,0.363557537,0.305792614,0.254020042,0.237267199,0.360708976,0.189332391,0.187046404,0.212325793
cg02631468,0.241283229,0.235352361,0.522245261,0.877497272,0.202454256,0.212295869,0.540401441,0.703935652,0.267915087,0.241434229,0.475206145,0.175465042,0.625920274,0.457574669,0.105388766,0.169543773,0.619901471,0.706082042,0.200586891,0.395168378,0.216419439,0.203792586,0.087390213,0.438581411,0.646683248,0.235844804,0.060308555,0.544703571,0.388776871,0.767615363,0.279274383,0.406512087,0.659465954,0.107884816,0.070956547,0.276297279,0.056089111,0.248529235,0.113781921,0.633946149,0.702561696,0.317834301,0.266710934,0.625157413,0.323193542,0.287306587,0.152117031,0.525404926,0.531134402,0.311723239,0.301527423,0.402086957,0.70019876,0.251508193,0.169884452,0.739918725,0.588669629,0.247887136,0.171156361,0.518963446,0.328568857,0.220046033,0.549347047,0.55929456,0.789169675,0.221663674,0.172164625,0.591462704,0.507236591,0.195111357,0.156243293,0.25546713,0.077822447,0.206957809,0.492974364,0.334226468,0.144108587,0.239406586,0.216520601,0.285897316,0.08699873,0.230862773,0.262163743,0.557306894,0.592703185,0.627379711,0.555318338,0.202616716,0.566422738,0.5175999,0.554305652,0.125880055,0.238752877,0.246416519,0.305142609,0.180128663,0.19266255,0.560853199,0.255023388,0.142606501,0.189947245,0.113234017
cg02726121,0.169672327,0.151551178,0.41040216,0.797124258,0.150242887,0.17638649,0.630281488,0.498294885,0.237803922,0.253724222,0.410834176,0.102652733,0.505536052,0.198890267,0.10191297,0.141010881,0.340233795,0.522947368,0.125358919,0.241888094,0.17800764,0.186856884,0.148859359,0.332843362,0.362971985,0.180725613,0.101934899,0.333779357,0.369345745,0.575196105,0.196692653,0.12627741,0.071460624,0.126779275,0.08976414,0.183227814,0.337255486,0.224238876,0.119368709,0.474088187,0.119813074,0.199924628,0.18878357,0.451574822,0.18291825,0.168687589,0.142478159,0.177233872,0.408745824,0.262231025,0.244474684,0.164937645,0.639738463,0.162555345,0.123876479,0.55543686,0.09458348,0.173084653,0.145559211,0.394841974,0.226910251,0.206605874,0.4016445,0.339417262,0.433658171,0.215917429,0.128882886,0.408301502,0.440663214,0.154653914,0.183634853,0.201805475,0.097507453,0.151334074,0.115198593,0.249030256,0.171832659,0.132981331,0.100232768,0.206380771,0.115206975,0.154675434,0.238125757,0.150996601,0.081697524,0.503792037,0.444628169,0.09588854,0.155450473,0.458537089,0.357108058,0.140457534,0.147809077,0.230626285,0.203066076,0.177047431,0.155334167,0.316196095,0.20583046,0.13400836,0.132946112,0.183243456
cg02796545,0.104309101,0.164801483,0.124291946,0.093283904,0.18677478,0.159778952,0.126140339,0.132942798,0.207747541,0.211426684,0.385272258,0.092784902,0.148253185,0.096843274,0.105064248,0.110944902,0.101367905,0.096498209,0.099352241,0.103166674,0.147650494,0.15327086,0.137439967,0.113581359,0.097471022,0.163331733,0.115833384,0.112108859,0.135656173,0.098233568,0.138097734,0.134838119,0.109164806,0.134305358,0.096686527,0.167242845,0.122143771,0.161646479,0.149282775,0.1341328,0.122014275,0.144734791,0.127611549,0.119366755,0.130810593,0.169543197,0.140530479,0.117497251,0.427734375,0.178265656,0.185468149,0.145978485,0.584343661,0.190878113,0.134562534,0.107085304,0.104778471,0.134874316,0.134257254,0.185466219,0.137895141,0.192849741,0.142662504,0.145937554,0.09262618,0.205596559,0.115643164,0.139774005,0.459128878,0.146912955,0.186072537,0.172387694,0.10996579,0.146280763,0.127612413,0.197848799,0.143538219,0.128853816,0.105457392,0.15008188,0.105876021,0.151815703,0.144284898,0.141213583,0.466995649,0.471944263,0.130719311,0.172800131,0.103240854,0.263357803,0.098185301,0.137998812,0.12879594,0.164174907,0.156793346,0.25803153,0.122783147,0.129627155,0.156740348,0.125464768,0.142422232,0.177004958
cg02964724,0.150326054,0.18245614,0.154282536,0.093744741,0.200496256,0.194925302,0.129432088,0.145832347,0.256252931,0.254240647,0.07602884,0.118811881,0.078621849,0.106519663,0.103899511,0.102510647,0.160824437,0.110871237,0.134860951,0.081589778,0.163356463,0.203426069,0.165460509,0.127217872,0.144988327,0.175039472,0.100754461,0.445002312,0.16103083,0.097482764,0.143559102,0.148653363,0.315114054,0.163466928,0.118118155,0.194790159,0.10787985,0.203140587,0.183688546,0.152601996,0.493384824,0.176601875,0.137410412,0.16441399,0.125473557,0.207197419,0.147639298,0.32418277,0.142822206,0.215489032,0.176316074,0.145446006,0.093615601,0.152859096,0.147895167,0.109496956,0.072956274,0.143857965,0.152385517,0.208718339,0.15122005,0.220939944,0.135029812,0.116472125,0.085132853,0.223691733,0.107273133,0.100664176,0.144167343,0.164266594,0.145309436,0.234892292,0.118715517,0.151830254,0.116714125,0.196264631,0.151071864,0.149641114,0.115756828,0.162354706,0.117887286,0.169451852,0.180121219,0.281848956,0.099665993,0.089842415,0.1009976,0.147574851,0.108064349,0.116163754,0.094979386,0.147842466,0.184180193,0.189396522,0.158650116,0.256967107,0.143864402,0.162643364,0.17354964,0.14031977,0.152360648,0.161726883
cg03045635,0.415866484,0.426638478,0.627058168,0.880423334,0.38412842,0.388624435,0.747920585,0.682121097,0.490077736,0.436330656,0.481224551,0.375046541,0.761164942,0.467638383,0.295528052,0.401038328,0.647407915,0.703069384,0.372487628,0.479406104,0.452979428,0.461587831,0.391530761,0.605887632,0.649407618,0.445007348,0.100387347,0.68624226,0.603747618,0.810058669,0.479525639,0.610209548,0.59683223,0.348625968,0.226522159,0.471094558,0.597739272,0.503611525,0.366761315,0.693177216,0.723992486,0.51216955,0.444658539,0.722245614,0.45811257,0.503690698,0.385814748,0.641831097,0.568898576,0.557222002,0.519388404,0.643514208,0.760874599,0.439391063,0.419452428,0.717036507,0.615984154,0.44717791,0.431750075,0.574866667,0.543365308,0.478126467,0.602425923,0.632126887,0.783898801,0.464056483,0.38678283,0.650743283,0.591831122,0.445054495,0.404918099,0.460601994,0.326176471,0.463060981,0.536679537,0.501311647,0.422826289,0.378702106,0.324578367,0.452380952,0.30054784,0.418485237,0.488513221,0.682208869,0.710016376,0.685712374,0.652086095,0.280217272,0.700876688,0.644832198,0.635955617,0.383675483,0.434869195,0.472679009,0.503938572,0.498706163,0.448829481,0.617488969,0.497695996,0.345037188,0.398586683,0.400287829
